batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
TM Dilshan,Sri Lanka,259,259,229,30,9212,10777,1022,50,42,21,161,85.48,40.23
TM Dowlin,West Indies,10,10,9,1,228,362,20,1,1,1,100,62.98,25.33
TM Head,Australia,74,74,69,5,2948,2860,340,72,16,7,154,103.08,42.72
TM McGrath,Australia,40,40,32,8,837,965,108,3,5,0,74,86.74,26.16
TM Odoyo,Kenya,35,35,30,5,830,1201,71,18,3,1,111,69.11,27.67
TMK Mawoyo,Zimbabwe,7,7,7,0,58,166,4,0,0,0,15,34.94,8.29
TMM Newton,New Zealand,6,6,6,0,38,79,2,0,0,0,16,48.1,6.33
TN de Grooth,Netherlands,8,8,8,0,70,150,5,0,0,0,28,46.67,8.75
TP Ura,Papua New Guinea,51,51,50,1,1196,1526,131,24,5,1,151,78.37,23.92
TP Visee,Netherlands,3,3,3,0,72,66,12,2,0,0,41,109.09,24.0
TR Ambrose,England,5,5,4,1,10,34,0,0,0,0,6,29.41,2.5
TR Gripper,Zimbabwe,2,2,2,0,23,51,2,0,0,0,17,45.1,11.5
TR Sadhu,India,3,3,3,0,9,26,0,0,0,0,4,34.62,3.0
TS Chisoro,Zimbabwe,9,9,8,1,109,155,8,2,0,0,42,70.32,13.62
TS Hasabnis,India,6,6,3,3,140,184,16,0,1,0,53,76.09,46.67
TS Kamunhukamwe,Zimbabwe,12,12,12,0,131,169,15,5,1,0,51,77.51,10.92
TS Nethula,New Zealand,3,3,2,1,12,11,1,0,0,0,9,109.09,6.0
TS Roland-Jones,England,1,1,0,0,37,38,5,1,0,0,37,97.37,inf
TS Sekhukhune,South Africa,9,9,6,3,41,107,3,0,0,0,17,38.32,6.83
TSS Mackintosh,Scotland,9,9,8,1,169,203,17,1,0,0,38,83.25,21.12
TT Beaumont,England,112,112,103,9,4400,5829,528,24,22,12,168,75.48,42.72
TT Bresnan,England,63,63,44,19,871,984,89,7,1,0,80,88.52,19.8
TT Samaraweera,Sri Lanka,30,30,20,10,669,914,63,0,0,2,105,73.19,33.45
TV Mufambisi,Zimbabwe,4,4,4,0,45,71,6,0,0,0,21,63.38,11.25
TW Hartley,England,1,1,0,0,12,9,1,0,0,0,12,133.33,inf
TWM Latham,New Zealand,148,148,130,18,4383,5270,372,59,25,8,145,83.17,33.72
Tabarak Dar,Hong Kong,2,2,2,0,45,95,5,0,0,0,24,47.37,22.5
Taijul Islam,Bangladesh,10,10,8,2,89,137,8,1,0,0,39,64.96,11.12
Talha Jubair,Bangladesh,1,1,0,0,4,8,1,0,0,0,4,50.0,inf
Tamim Iqbal,Bangladesh,215,215,203,12,7648,9979,841,96,55,12,158,76.64,37.67
Tanbir Hayder,Bangladesh,2,2,2,0,5,17,0,0,0,0,3,29.41,2.5
Tanveer Ahmed,Hong Kong,3,3,0,0,4,12,0,0,0,0,2,33.33,inf
Tanvir Ahmed,Pakistan,1,1,1,0,18,12,1,2,0,0,18,150.0,18.0
Tanvir Islam,Bangladesh,4,4,3,1,26,38,4,1,0,0,9,68.42,8.67
Tanwir Afzal,Hong Kong,12,12,10,2,161,182,13,8,0,0,47,88.46,16.1
Tanzid Hasan,Bangladesh,22,22,21,1,566,541,71,20,5,0,84,104.62,26.95
Tanzim Hasan Sakib,Bangladesh,9,9,6,3,134,162,9,6,0,0,45,82.72,22.33
Tapash Baisya,Bangladesh,15,15,10,5,113,217,9,0,0,0,22,52.07,11.3
Tareq Aziz,Bangladesh,1,1,0,0,2,11,0,0,0,0,2,18.18,inf
Taskin Ahmed,Bangladesh,37,37,27,10,221,394,15,8,0,0,21,56.09,8.19
Tasmia Rubab,Pakistan,1,1,1,0,6,3,1,0,0,0,6,200.0,6.0
Tasqeen Qadeer,Pakistan,3,3,3,0,48,144,2,0,0,0,27,33.33,16.0
Taufeeq Umar,Pakistan,11,11,10,1,262,504,33,0,1,0,81,51.98,26.2
Tayyab Tahir,Pakistan,10,10,8,2,181,185,18,3,0,0,38,97.84,22.62
Tharika Sewwandi,Sri Lanka,1,1,1,0,1,3,0,0,0,0,1,33.33,1.0
Theertha Satish,United Arab Emirates,8,8,7,1,219,382,23,0,1,0,66,57.33,31.29
Tilak Varma,India,4,4,3,1,68,125,6,1,1,0,52,54.4,22.67
